Source_ID,Station_ID,Latitude,Longitude,Elevation,Station_Name,Station_State,Station_FIPS,Country,Data_Policy,WMO_ID
221,AFWA-010071,78.2170000,15.5830000,37.00, "LONGYEARBYEN" ,"  ",SV," ","WMO Resolution 40","     ",
221,AFWA-010121,69.1170000,17.7670000,6.00, "ESPENES" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010141,69.5500000,17.9170000,9.00, "LEIRKJOSEN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010171,69.3500000,18.0833333,12.00, "GIBOSTAD" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010241,69.3330000,18.9170000,20.00, "MESTERVIK" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010303,69.7000000,19.0166666,14.00, "TROMSO/SKATTURA" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010351,69.2500000,19.8830000,12.00, "OTEREN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010361,69.3670000,20.2670000,5.00, "SKIBOTIN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010371,69.9170000,20.1500000,27.00, "NORD-LENANGEN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010401,70.0330000,20.9830000,15.00, "SKJERVOY" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010431,70.3330000,21.4670000,11.00, "LOPPA" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010531,70.6830000,23.6670000,72.00, "HAMMERFEST RADIO" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010611,70.0670000,25.1170000,34.00, "BRENNELV" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010631,70.4330000,25.1830000,43.00, "KISTRAND III" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010671,69.9000000,26.4170000,112.00, "LEVAJOK-EVJEN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010721,70.5670000,27.0000000,6.00, "LEBESBY" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010821,70.1670000,28.5670000,15.00, "NYBORG" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-010851,69.8500000,29.4170000,8.00, "BUGOYFJORD" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011051,67.4170000,11.8830000,18.00, "SKOMVAER (LGT-H)" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011091,65.8670000,12.1830000,6.00, "SKALVAER" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011311,67.8830000,13.0500000,34.00, "GLAPEN (LGT-H)" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011451,68.3500000,13.9670000,15.00, "KVALNES" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011461,67.4000000,13.9000000,14.00, "HELLIGVAER ISLAND" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011501,65.6830000,14.1670000,385.00, "HATTFJELLDAL-KRUTA" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011631,66.5000000,15.2330000,549.00, "BOLNA" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011701,67.2330000,15.3170000,167.00, "FAUSKE-VETEN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011731,68.3170000,15.6500000,20.00, "OFFERSOY" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-011761,68.5670000,16.2670000,25.00, "KONGSVIK" ,"  ",NO," ","WMO Resolution 40","     ",
